d,eta,N_needed
-99995,0.5677417110599999,4
-99992,0.520027686149,3
-99991,0.5387607447999999,4
-99988,0.258125278798,3
-99987,0.223785542387,3
-99983,0.370167671348,3
-99979,0.483390284011,4
-99976,0.309364742713,3
-99971,0.353524938011,3
-99967,0.588647163321,4
-99959,0.8789054822569999,5
-99956,0.775336543096,4
-99955,0.206130145003,3
-99951,0.348314715111,3
-99947,0.241266723704,3
-99943,0.482558982847,3
-99940,0.366790713257,3
-99939,0.257626624018,3
-99935,0.82055265128,4
-99931,0.446251145555,4
-99928,0.410283699854,3
-99924,0.334260935427,3
-99923,0.235283573093,3
-99919,0.601552004557,4
-99915,0.462499273069,4
-99912,0.339939449408,3
-99908,0.511718246571,3
-99907,0.170681937123,3
-99903,0.255878266461,3
-99899,0.515292716735,4
-99896,0.8330097226159999,4
-99895,0.38653280751,3
-99892,0.294575479814,3
-99887,0.165068602401,3
-99883,0.278009702411,3
-99880,0.468574182184,3
-99876,0.6540048458809999,4
-99871,0.445281614006,3
-99867,0.45786675234700003,3
-99863,0.5310574637,3
-99860,0.6824726073499999,4
-99859,0.301460271531,3
-99851,0.468535669896,4
-99848,0.527297682094,4
-99847,0.25342192033600003,3
-99844,0.37592603004,3
-99843,0.312976197311,3
-99839,0.8518381786849999,4
-99835,0.473588986115,4
-99832,0.182934996918,3
-99831,0.5126560602629999,3
-99827,0.31085828941,3
-99823,0.50483333393,3
-99816,0.615307941005,4
-99815,0.60787642132,4
-99812,0.436832436871,3
-99811,0.6803861835649999,4
-99807,0.165949964399,3
-99803,0.188233696539,3
-99799,0.433219241953,3
-99796,0.204130068943,3
-99795,0.361290322021,3
-99791,0.9347749346759999,5
-99787,0.235342527766,3
-99784,0.5143888657729999,4
-99780,0.339429485888,3
-99779,0.491844674271,4
-99771,0.460358213701,4
-99768,0.392889857434,3
-99767,0.413376516886,3
-99763,0.227912380255,3
-99759,0.40586944311400003,3
-99755,0.456064352515,4
-99752,0.354609526482,3
