d,N_needed
-996,1
-995,1
-991,1
-987,1
-984,1
-983,1
-979,1
-971,2
-967,1
-964,1
-959,2
-955,1
-952,1
-951,1
-948,1
-947,1
-943,1
-939,1
-935,1
-932,1
-923,1
-920,2
-919,1
-916,1
-915,1
-911,2
-907,1
-904,1
-903,1
-899,2
-895,1
-888,1
-887,2
-884,1
-883,1
-879,1
-872,1
-871,2
-868,1
-863,1
-859,1
-856,1
-852,1
-851,1
-843,1
-840,1
-839,2
-836,2
-835,1
-831,2
-827,1
-824,2
-823,1
-820,1
-815,2
-811,1
-808,1
-807,1
-804,1
-803,1
-799,1
-795,1
-791,2
-788,1
-787,1
-779,1
-776,2
-772,1
-771,1
-767,1
-763,1
-760,1
-759,2
-755,2
-751,1
-744,1
-743,1
-740,1
-739,1
-731,1
-728,1
-727,1
-724,1
-723,1
-719,2
-715,1
-712,1
-708,1
-707,1
-703,1
-699,2
-696,1
-695,1
-692,1
-691,1
-687,1
-683,1
-680,1
-679,1
-671,2
-667,1
-664,1
-663,1
-660,1
-659,1
-655,1
-651,1
-647,1
-644,1
-643,1
-635,1
-632,1
-631,1
-628,1
-627,1
-623,1
-619,1
-616,1
-615,1
-611,1
-607,1
-599,2
-596,1
-595,1
-591,2
-587,1
-584,1
-583,1
-580,1
-579,1
-571,1
-568,1
-564,1
-563,1
-559,1
-555,1
-552,1
-551,2
-548,1
-547,1
-543,1
-536,1
-535,1
-532,1
-527,1
-523,1
-520,1
-519,1
-516,1
-515,1
-511,1
-503,1
-499,1
-491,1
-488,1
-487,1
-483,1
-479,2
-472,1
-471,1
-467,1
-463,1
-456,1
-455,1
-452,1
-451,1
-447,1
-443,1
-440,1
-439,2
-436,1
-435,1
-431,2
-427,1
-424,1
-420,1
-419,1
-415,1
-411,1
-408,1
-407,1
-404,2
-403,1
-399,1
-395,1
-391,1
-388,1
-383,1
-379,1
-376,1
-372,1
-371,1
-367,1
-359,2
-356,1
-355,1
-347,1
-344,1
-340,1
-339,1
-335,2
-331,1
-328,1
-327,1
-323,1
-319,1
-312,1
-311,2
-308,1
-307,1
-303,1
-299,1
-296,1
-295,1
-292,1
-291,1
-287,1
-283,1
-280,1
-276,1
-271,1
-267,1
-264,1
-263,1
-260,1
-259,1
-255,1
-251,1
-248,1
-247,1
-244,1
-239,1
-235,1
-232,1
-231,1
-228,1
-227,1
-223,1
-219,1
-215,2
-212,1
-211,1
-203,1
-199,1
-195,1
-191,1
-187,1
-184,1
-183,1
-179,1
-168,1
-167,1
-164,1
-163,1
-159,1
-155,1
-152,1
-151,1
-148,1
-143,1
-139,1
-136,1
-132,1
-131,1
-127,1
-123,1
-120,1
-119,2
-116,1
-115,1
-111,1
-107,1
-104,1
-103,1
-95,1
-91,1
-88,1
-87,1
-84,1
-83,1
-79,1
-71,1
-68,1
-67,1
-59,1
-56,1
-55,1
-52,1
-51,1
-47,1
-43,1
-40,1
-39,1
-35,1
-31,1
-24,1
-23,1
-20,1
-19,1
-15,1
-11,1
-8,1
-7,1
-4,1
-3,3
1,1
5,3
8,2
12,1
13,1
17,2
21,1
24,1
28,1
29,1
33,1
37,1
40,1
41,1
44,1
53,1
56,1
57,1
60,1
61,1
65,1
69,1
73,2
76,1
77,1
85,1
88,1
89,1
92,1
93,1
97,2
101,1
104,1
105,1
109,1
113,1
120,1
124,1
129,1
133,1
136,1
137,1
140,1
141,1
145,2
149,1
152,1
156,1
157,1
161,1
165,1
168,1
172,1
173,1
177,1
181,1
184,2
185,1
188,1
193,2
197,1
201,1
204,1
205,1
209,1
213,1
217,2
220,1
221,1
229,1
232,1
233,1
236,1
237,1
241,2
248,1
249,2
253,1
257,1
264,1
265,2
268,1
269,1
273,1
277,1
280,1
281,1
284,1
285,1
293,1
296,1
301,1
305,1
309,1
312,1
313,1
316,2
317,1
321,1
328,1
329,1
332,1
337,2
341,1
344,1
345,2
348,1
349,1
353,1
357,1
364,2
365,1
373,1
376,1
377,1
380,1
381,1
385,2
389,1
393,1
397,1
401,2
408,1
409,2
412,1
413,1
417,1
421,2
424,2
428,1
429,1
433,1
437,1
440,1
444,1
445,2
449,2
453,1
456,2
457,2
460,1
461,1
465,1
469,1
472,1
473,1
476,1
481,2
485,1
488,1
489,2
492,1
493,1
497,1
501,1
505,2
508,1
509,1
517,1
520,2
521,1
524,1
533,1
536,1
537,1
541,2
545,1
552,1
553,2
556,1
557,1
561,2
565,1
568,1
569,2
572,1
573,1
577,1
581,1
584,1
589,2
593,1
597,1
601,2
604,2
609,2
613,1
616,2
617,1
620,1
629,1
632,1
633,1
636,1
641,2
645,1
649,2
652,1
653,1
661,1
664,2
665,1
668,1
669,1
673,2
677,1
680,1
681,2
685,1
689,1
696,1
697,2
701,1
705,1
709,2
712,1
713,1
716,2
717,1
721,2
728,1
732,1
733,1
737,1
741,1
744,1
745,2
748,1
749,1
753,1
757,2
760,2
761,1
764,2
769,2
773,1
776,1
777,1
780,1
781,2
785,1
789,1
793,2
796,2
797,1
805,1
808,1
809,2
812,1
813,1
817,1
821,1
824,1
829,2
840,1
844,2
849,2
853,1
856,2
857,1
860,1
861,1
865,2
869,1
872,1
876,1
877,1
881,1
885,1
888,1
889,3
892,1
893,1
897,1
901,1
904,2
905,1
908,1
913,1
917,1
920,1
921,2
924,1
929,1
933,1
937,1
940,2
941,1
949,2
952,1
953,1
956,1
957,1
965,1
969,2
973,1
977,1
984,2
985,2
988,1
989,1
993,1
997,1
